'6129309326982410424,76,顶你   刘壮实
'6129309485297649782,4,大家好好看就行了，开心就好。不要黑这黑那的，
'6129309556511530347,59,不爱看就左上角，好了。
'6129309604843692424,181,喜欢张钧甯
'6129311016355806160,85,00，12谁在看
'6129312056464714272,1,开场都抄袭
'6129313330793709124,4,哈哈哈哈
'6129314012049356294,62,没人在啊
'6129314441408891143,6,衡水安平马店
'6129317916133889013,5,怎么有鹿晗这傻狍子
'6129318619648700824,264,贾玲输了比赛，赢了大度
'6129320509500373570,1,大爱赫赫~~~
'6129321376865499863,1,贾玲很好玩
'6129323212784871629,2,林允很纯很真的一个女孩看好你
'6129300591228672380,4,好拼啊
'6129307674535706567,303,看着他们每一个人都很努力的在拼搏呢
'6131317780177663769,16,陈赫真的是帅得不要不要哒~
'6129300290959660171,231,最喜欢的就是贾玲那个女汉子
'6131316960318275617,32,我爱你陈赫
'6129300206490571827,311,又来了这么多女嘉宾，好幸福。
'6131314687886299216,18,喜欢贾玲！！！
'6129306717543551157,80,贾玲女神贾玲女神
'6129307197144224930,183,赫赫你不要给我吧，赫赫是我女神
'6131314502393210116,25,贾玲来弹幕，想问贾玲，你为什么这么灵活？
'6131317023908118337,1,陈赫你爱贾玲么
'6131317855809516160,25,哎呀我的妈，最喜欢贾玲了~
'6129300493934606593,251,这一期有女神贾玲！
'6131325872090192177,10,嘉玲女神太可爱了。么么、
'6131324360080308823,9,陈赤赤也想要签名照么？要不我们换？[xl14z]哈哈哈
'6131317879856507775,38,贾玲你好霸气哦
'6129298429280065623,222,错了，是23点24..........
'6129298482606446751,365,我爱你我爱你我爱你我爱你我爱你我爱你我爱你邓超
'6129299228935508873,78,好模糊
'6129299268567646012,249,这期怎么时间这么短
'6129299374201033774,1,我是第一
'6129299911277467276,217,鹿晗，看好你
'6129300019374280172,51,贾玲
'6129300926069556202,66,搞笑
'6129301104625269722,190,等的好辛苦
'6129301792193330917,47,醉了
'6129302459540659860,1,支持狍子！😄😄同感点个在哈
'6129305126115564026,5,我爱陈赫
'6129305840778829070,1,有人？
'6129305865420353995,139,周五情侣终于上线了啊👍👍👍👍👍👍👍?
'6129305866446754018,20,恶
'6129306149193169333,81,太搞笑了
'6129307264974509283,109,超哥超哥
'6129308427481601898,177,为我鹿来
'6129308598269449321,22,haha 
'6129309371179024286,57,梓晨梓兮梓兮梓兮梓兮梓兮梓兮
'6129309435607720180,20,梓兮梓兮梓兮
'6129309709012229652,115,今天下午进行计算方法和步骤图为什么会不会被窝里头...
'6129309773555376659,2,我喜欢埃及艳后
'6129309791196623161,2,永远爱跑男
'6129311277019199367,22,来说
'6129313147394790711,10,第一
'6129314419253370146,11,半年多了好想你郭丽稳
'6129318076847052967,18,才上班辅导书对他
'6129318755622616758,7,贾玲你最榜，不乘人之危
'6129325588802338065,5,翑7㘝[dk4s3]
'6129326365486799699,87,预告真的是多此一举
'6129329270256202909,147,这期跟韩国running men 有一期一毛一样
'6129333460320982321,107,这跟15年那期RM开头一样？
'6129333814004448607,38,1.43有人吗
'6129335420951376703,111,极限挑战  这就是命
'6129339265534474957,2,抄袭没关系 搞笑就行
'6129339440005980734,26,其实我觉得贾的扮相挺好看啊
'6129367699296962383,3,人才
'6129390209030608518,6,   
'6129392684257161762,3,哈哈
'6129393461727149300,81,贾玲。。。
'6129393681676444220,124,奔跑吧兄弟里面全是演的吗？
'6129404162154610463,1,这期搞笑
'6129417292889012450,1,是
'6129421272738066438,86,perhaps
'6129426720179705834,11,额
'6129438103101317263,118,大爱张钧蜜
'6129439290999521881,130,赫赫好心酸
'6129439402189291256,122,终于等到你
'6129442200729604722,3,我 离个去
'6129442457458758600,2,杨颖加油
'6129443307988089842,3,爱baby
'6129444340148803684,76,小猎豹怎么成了光头
'6129444652258350712,2,哈哈
'6129450213309839080,16,hi 
'6129450373315383266,1,lu
'6129453442525640462,46,baby，加油
'6129455446924639690,3,赤赤好命苦
'6129456378798489408,23,郑恺
'6129456506024308775,55,哈哈哈贾玲
'6129461724262775562,3,赫赫，保重
'6129464314224366053,17,贾玲我爱你爱你爱你
'6129465991467818156,1,好可怕呀！黑到宝宝了
'6129469309183229546,4,郑凯光头强
'6129471436715810261,4,a
'6129475014938251668,4,好卡，
'6129494784694882426,14,我的人都在
'6129497921152266642,3,加油
'6129504512426715573,11,这期好看
'6129506377167089900,5,貌似这期更好看啊    呵呵
'6129506746866678574,2,大爱嘉玲
'6129510859390140407,4,讨厌林允
'6129521157782187180,8,支持，赤赤
'6129521625111532361,1,表演的时候最好笑
'6129302344661627609,73,喜欢这样的节目我认为是我看过的最有意义的
'6129300255765247963,295,真的很喜欢看贾玲看着真喜庆
'6131317906354921128,17,贾玲你太可爱了~
'6131320815989740010,32,好想要贾玲儿的签名哦
